Date,Current Index,%Change,Opening,High,Low,Trading Volume (shr),Trading Value (KHR),Market Cap.(Mil.KHR)
2023-09-19,462.38,0.21,461.39,463.22,460.4,77596,668911090,12401483
2023-09-18,461.42,0.09,462.53,462.53,459.52,81889,693246670,12375864
2023-09-15,461.82,0.04,461.52,461.91,460.65,51639,375381030,12386618
2023-09-14,461.63,0.15,461.59,462.33,459.93,49709,377165210,12381467
2023-09-13,462.32,0.37,460.95,464.22,460.06,72530,534518740,12400128
2023-12-09,460.6,0.15,465.18,465.42,459.21,52468,280437770,12353886
2023-11-09,459.92,1.27,453.6,464.64,453.6,104904,707694430,12335751
2023-08-09,454.17,0.53,457.42,457.42,451.03,144243,576129470,12181521
2023-07-09,456.57,0.98,460.6,460.93,452.95,112754,468170540,12245879
2023-06-09,461.07,0.19,462.56,462.56,459.26,91300,650771580,12366397
2023-05-09,461.94,1.56,468.91,469.23,454.59,104864,656353100,12389908
2023-04-09,469.25,0.43,471.06,473.21,468.02,79842,540725580,12585863
2023-01-09,471.28,0.38,463.21,472.97,463.21,94960,412360010,12640277
2023-08-31,473.09,0.08,473.28,473.95,472.15,35827,253745410,12688906
2023-08-30,473.48,0.11,473.23,474.32,472.31,68978,536138610,12699305
2023-08-29,472.94,0.28,474.27,474.97,471.4,97253,612360660,12684967
2023-08-28,474.27,1.23,480.08,480.08,473.61,146728,866793110,12720448
2023-08-25,480.2,0.45,481.75,483.65,480.2,73027,471710410,12879534
2023-08-24,482.39,0.24,482.66,482.74,481.06,47929,315383330,12938413
2023-08-23,483.54,0.26,484.43,484.72,481.36,98065,678882540,12969044
2023-08-22,484.81,0.12,485.67,486.0,482.04,99603,669891390,13003118
2023-08-21,485.41,0.14,487.31,487.31,483.33,108925,746986660,13019197
2023-08-18,486.1,0.08,486.88,487.65,484.98,80918,559827130,13037901
2023-08-17,486.47,0.14,485.48,487.14,484.43,150835,1095379550,13047708
2023-08-16,485.8,0.76,489.23,489.77,484.67,149781,634619780,13029715
2023-08-15,489.5,0.66,489.15,492.07,486.33,145138,815312980,13129100
